Date,Open,High,Low,Close,Volume,Adj Close
2005-08-30,2273.87,2284.06,2258.96,2268.49,130377000,2268.49
2005-08-29,2283.59,2284.38,2261.14,2272.00,116624400,2272.00
2005-08-26,2287.18,2290.58,2280.33,2286.55,104945000,2286.55
2005-08-25,2273.50,2288.25,2271.07,2284.40,131389200,2284.40
2005-08-24,2288.14,2289.73,2277.99,2278.35,126484400,2278.35
2005-08-23,2301.80,2306.32,2287.27,2289.66,192134200,2289.66
2005-08-22,2293.23,2304.36,2289.16,2300.95,140839800,2300.95
2005-08-19,2294.03,2295.26,2279.64,2286.36,109877000,2286.36
2005-08-18,2299.43,2308.06,2275.66,2282.70,223610800,2282.70
2005-08-17,2296.54,2296.54,2276.11,2280.23,281250600,2280.23
2005-08-16,2291.26,2305.62,2290.98,2305.30,153965200,2305.30
2005-08-15,2305.94,2306.62,2269.55,2279.76,167451200,2279.76
2005-08-12,2311.76,2319.65,2299.35,2303.20,214580200,2303.20
2005-08-11,2335.10,2335.10,2304.32,2305.97,217807800,2305.97
2005-08-10,2349.87,2356.42,2335.41,2338.49,470432200,2338.49
2005-08-08,2333.68,2353.09,2333.68,2348.21,140512200,2348.21
2005-08-05,2354.23,2358.64,2329.51,2338.87,214691400,2338.87
2005-08-04,2368.60,2378.27,2359.62,2362.39,233310200,2362.39
2005-08-03,2387.54,2399.75,2365.19,2365.19,245067200,2365.19
2005-08-02,2369.33,2383.84,2366.47,2377.13,239162000,2377.13
2005-08-01,2353.57,2369.87,2348.15,2365.72,197338200,2365.72
2005-07-29,2349.92,2362.66,2338.46,2352.56,233807200,2352.56
2005-07-28,2345.66,2351.58,2337.66,2346.19,246121800,2346.19
2005-07-27,2325.01,2338.67,2324.70,2333.62,194861200,2333.62
2005-07-26,2317.69,2330.95,2316.87,2321.77,189504800,2321.77
2005-07-25,2317.12,2323.10,2309.61,2309.61,187317200,2309.61
2005-07-22,2315.10,2324.04,2310.75,2319.34,243278200,2319.34
2005-07-21,2316.25,2329.63,2309.30,2311.14,271294200,2311.14
2005-07-20,2307.12,2343.69,2295.05,2309.26,482121000,2309.26
2005-07-19,2246.18,2293.14,2244.41,2292.92,396439400,2292.92
2005-07-18,2249.75,2252.96,2240.49,2248.14,132907200,2248.14
2005-07-15,2253.95,2255.72,2243.41,2250.29,190563000,2250.29
2005-07-14,2248.88,2253.63,2243.36,2250.16,183125800,2250.16
